state,zip,phone,mc,score,sample,stateavg
AL,35957,2565938310,PN-6,92%,175 patients,AL_PN-6
AL,35957,2565938310,PN-7,81%,118 patients,AL_PN-7
AL,35957,2565938310,SCIP-CARD-2,36%,14 patients,AL_SCIP-CARD-2
AL,35957,2565938310,SCIP-INF-1,96%,168 patients,AL_SCIP-INF-1
AL,35957,2565938310,SCIP-INF-2,93%,167 patients,AL_SCIP-INF-2
AL,35957,2565938310,SCIP-INF-3,95%,158 patients,AL_SCIP-INF-3
AL,35957,2565938310,SCIP-INF-4,,0 patients,AL_SCIP-INF-4
AL,35957,2565938310,SCIP-INF-6,100%,237 patients,AL_SCIP-INF-6
AL,35957,2565938310,SCIP-VTE-1,78%,76 patients,AL_SCIP-VTE-1
AL,35957,2565938310,SCIP-VTE-2,74%,76 patients,AL_SCIP-VTE-2
AL,35631,2567688400,AMI-1,97%,159 patients,AL_AMI-1
AL,35631,2567688400,AMI-2,96%,247 patients,AL_AMI-2
AL,35631,2567688400,AMI-3,93%,43 patients,AL_AMI-3
AL,35631,2567688400,AMI-4,100%,103 patients,AL_AMI-4
AL,35631,2567688400,AMI-5,96%,227 patients,AL_AMI-5
AL,35631,2567688400,AMI-7A,,0 patients,AL_AMI-7A
AL,35631,2567688400,AMI-8A,98%,61 patients,AL_AMI-8A
AL,35631,2567688400,HF-1,79%,217 patients,AL_HF-1
AL,35631,2567688400,HF-2,97%,259 patients,AL_HF-2
AL,35631,2567688400,HF-3,82%,84 patients,AL_HF-3
AL,35631,2567688400,HF-4,100%,53 patients,AL_HF-4
AL,35631,2567688400,PN-2,90%,174 patients,AL_PN-2
AL,35631,2567688400,PN-3B,95%,137 patients,AL_PN-3B
AL,35631,2567688400,PN-4,100%,65 patients,AL_PN-4
AL,35631,2567688400,PN-5C,96%,200 patients,AL_PN-5C
AL,35631,2567688400,PN-6,91%,138 patients,AL_PN-6
AL,35631,2567688400,PN-7,88%,85 patients,AL_PN-7
AL,35631,2567688400,SCIP-CARD-2,96%,107 patients,AL_SCIP-CARD-2
AL,35631,2567688400,SCIP-INF-1,99%,457 patients,AL_SCIP-INF-1
AL,35631,2567688400,SCIP-INF-2,99%,462 patients,AL_SCIP-INF-2
AL,35631,2567688400,SCIP-INF-3,94%,439 patients,AL_SCIP-INF-3
AL,35631,2567688400,SCIP-INF-4,89%,130 patients,AL_SCIP-INF-4
AL,35631,2567688400,SCIP-INF-6,100%,619 patients,AL_SCIP-INF-6
AL,35631,2567688400,SCIP-VTE-1,95%,242 patients,AL_SCIP-VTE-1
AL,35631,2567688400,SCIP-VTE-2,92%,242 patients,AL_SCIP-VTE-2
AL,36467,3344933541,AMI-1,60%,5 patients,AL_AMI-1
AL,36467,3344933541,AMI-2,50%,2 patients,AL_AMI-2
AL,36467,3344933541,AMI-3,,0 patients,AL_AMI-3
AL,36467,3344933541,AMI-4,,0 patients,AL_AMI-4
AL,36467,3344933541,AMI-5,100%,2 patients,AL_AMI-5
AL,36467,3344933541,AMI-7A,,0 patients,AL_AMI-7A
AL,36467,3344933541,AMI-8A,,0 patients,AL_AMI-8A
AL,36467,3344933541,HF-1,98%,59 patients,AL_HF-1
AL,36467,3344933541,HF-2,87%,76 patients,AL_HF-2
AL,36467,3344933541,HF-3,64%,14 patients,AL_HF-3
AL,36467,3344933541,HF-4,100%,8 patients,AL_HF-4
AL,36467,3344933541,PN-2,87%,85 patients,AL_PN-2
AL,36467,3344933541,PN-3B,78%,64 patients,AL_PN-3B
AL,36467,3344933541,PN-4,100%,28 patients,AL_PN-4
AL,36467,3344933541,PN-5C,95%,87 patients,AL_PN-5C
AL,36467,3344933541,PN-6,88%,57 patients,AL_PN-6
AL,36467,3344933541,PN-7,90%,63 patients,AL_PN-7
AL,36467,3344933541,SCIP-CARD-2,91%,11 patients,AL_SCIP-CARD-2
AL,36467,3344933541,SCIP-INF-1,88%,101 patients,AL_SCIP-INF-1
AL,36467,3344933541,SCIP-INF-2,91%,101 patients,AL_SCIP-INF-2
AL,36467,3344933541,SCIP-INF-3,93%,100 patients,AL_SCIP-INF-3
AL,36467,3344933541,SCIP-INF-4,,0 patients,AL_SCIP-INF-4
AL,36467,3344933541,SCIP-INF-6,100%,123 patients,AL_SCIP-INF-6
AL,36467,3344933541,SCIP-VTE-1,87%,77 patients,AL_SCIP-VTE-1
AL,36467,3344933541,SCIP-VTE-2,88%,76 patients,AL_SCIP-VTE-2
AL,36049,3343353374,AMI-1,0%,1 patients,AL_AMI-1
AL,36049,3343353374,AMI-2,100%,1 patients,AL_AMI-2
AL,36049,3343353374,AMI-3,,0 patients,AL_AMI-3
AL,36049,3343353374,AMI-4,,0 patients,AL_AMI-4
AL,36049,3343353374,AMI-5,0%,1 patients,AL_AMI-5
AL,36049,3343353374,AMI-7A,,0 patients,AL_AMI-7A
AL,36049,3343353374,AMI-8A,,0 patients,AL_AMI-8A
AL,36049,3343353374,HF-1,4%,26 patients,AL_HF-1
AL,36049,3343353374,HF-2,72%,39 patients,AL_HF-2
AL,36049,3343353374,HF-3,75%,8 patients,AL_HF-3
AL,36049,3343353374,HF-4,0%,5 patients,AL_HF-4
AL,36049,3343353374,PN-2,25%,16 patients,AL_PN-2
AL,36049,3343353374,PN-3B,93%,15 patients,AL_PN-3B
AL,36049,3343353374,PN-4,33%,9 patients,AL_PN-4
AL,36049,3343353374,PN-5C,95%,21 patients,AL_PN-5C
AL,36049,3343353374,PN-6,62%,21 patients,AL_PN-6
AL,36049,3343353374,PN-7,47%,15 patients,AL_PN-7
AL,36049,3343353374,SCIP-CARD-2,100%,1 patients,AL_SCIP-CARD-2
AL,36049,3343353374,SCIP-INF-1,100%,2 patients,AL_SCIP-INF-1
AL,36049,3343353374,SCIP-INF-2,100%,2 patients,AL_SCIP-INF-2
AL,36049,3343353374,SCIP-INF-3,100%,2 patients,AL_SCIP-INF-3
AL,36049,3343353374,SCIP-INF-4,,0 patients,AL_SCIP-INF-4
AL,36049,3343353374,SCIP-INF-6,100%,4 patients,AL_SCIP-INF-6
AL,36049,3343353374,SCIP-VTE-1,100%,4 patients,AL_SCIP-VTE-1
AL,36049,3343353374,SCIP-VTE-2,100%,4 patients,AL_SCIP-VTE-2
AL,35640,2567736511,AMI-1,100%,6 patients,AL_AMI-1
AL,35640,2567736511,AMI-2,100%,1 patients,AL_AMI-2
AL,35640,2567736511,AMI-3,100%,1 patients,AL_AMI-3
AL,35640,2567736511,AMI-4,100%,2 patients,AL_AMI-4
AL,35640,2567736511,AMI-5,100%,3 patients,AL_AMI-5
AL,35640,2567736511,AMI-7A,,0 patients,AL_AMI-7A
AL,35640,2567736511,AMI-8A,,0 patients,AL_AMI-8A
AL,35640,2567736511,HF-1,97%,35 patients,AL_HF-1
AL,35640,2567736511,HF-2,98%,42 patients,AL_HF-2
AL,35640,2567736511,HF-3,100%,10 patients,AL_HF-3
AL,35640,2567736511,HF-4,100%,12 patients,AL_HF-4
AL,35640,2567736511,PN-2,98%,44 patients,AL_PN-2
AL,35640,2567736511,PN-3B,100%,30 patients,AL_PN-3B
AL,35640,2567736511,PN-4,100%,25 patients,AL_PN-4
AL,35640,2567736511,PN-5C,98%,51 patients,AL_PN-5C
AL,35640,2567736511,PN-6,100%,45 patients,AL_PN-6
AL,35640,2567736511,PN-7,97%,30 patients,AL_PN-7
AL,35640,2567736511,SCIP-CARD-2,67%,3 patients,AL_SCIP-CARD-2
AL,35640,2567736511,SCIP-INF-1,100%,6 patients,AL_SCIP-INF-1
AL,35640,2567736511,SCIP-INF-2,57%,7 patients,AL_SCIP-INF-2
AL,35640,2567736511,SCIP-INF-3,80%,5 patients,AL_SCIP-INF-3
AL,35640,2567736511,SCIP-INF-4,,0 patients,AL_SCIP-INF-4
AL,35640,2567736511,SCIP-INF-6,100%,11 patients,AL_SCIP-INF-6
AL,35640,2567736511,SCIP-VTE-1,78%,9 patients,AL_SCIP-VTE-1
AL,35640,2567736511,SCIP-VTE-2,78%,9 patients,AL_SCIP-VTE-2
AL,35976,2565718000,AMI-1,100%,8 patients,AL_AMI-1
AL,35976,2565718000,AMI-2,100%,6 patients,AL_AMI-2
AL,35976,2565718000,AMI-3,50%,2 patients,AL_AMI-3
AL,35976,2565718000,AMI-4,100%,2 patients,AL_AMI-4
AL,35976,2565718000,AMI-5,83%,6 patients,AL_AMI-5
AL,35976,2565718000,AMI-7A,,0 patients,AL_AMI-7A
AL,35976,2565718000,AMI-8A,,0 patients,AL_AMI-8A
AL,35976,2565718000,HF-1,93%,55 patients,AL_HF-1
AL,35976,2565718000,HF-2,84%,80 patients,AL_HF-2
AL,35976,2565718000,HF-3,78%,27 patients,AL_HF-3
AL,35976,2565718000,HF-4,100%,10 patients,AL_HF-4
AL,35976,2565718000,PN-2,87%,128 patients,AL_PN-2
AL,35976,2565718000,PN-3B,94%,115 patients,AL_PN-3B
AL,35976,2565718000,PN-4,94%,65 patients,AL_PN-4
AL,35976,2565718000,PN-5C,97%,158 patients,AL_PN-5C
AL,35976,2565718000,PN-6,93%,133 patients,AL_PN-6
AL,35976,2565718000,PN-7,90%,101 patients,AL_PN-7
AL,35976,2565718000,SCIP-CARD-2,86%,14 patients,AL_SCIP-CARD-2
AL,35976,2565718000,SCIP-INF-1,95%,66 patients,AL_SCIP-INF-1
AL,35976,2565718000,SCIP-INF-2,91%,64 patients,AL_SCIP-INF-2
AL,35976,2565718000,SCIP-INF-3,100%,63 patients,AL_SCIP-INF-3
AL,35976,2565718000,SCIP-INF-4,,0 patients,AL_SCIP-INF-4
AL,35976,2565718000,SCIP-INF-6,100%,155 patients,AL_SCIP-INF-6
AL,35976,2565718000,SCIP-VTE-1,86%,56 patients,AL_SCIP-VTE-1
AL,35976,2565718000,SCIP-VTE-2,84%,56 patients,AL_SCIP-VTE-2
AL,35235,2058383122,AMI-1,99%,240 patients,AL_AMI-1
AL,35235,2058383122,AMI-2,96%,295 patients,AL_AMI-2
AL,35235,2058383122,AMI-3,91%,70 patients,AL_AMI-3
AL,35235,2058383122,AMI-4,100%,131 patients,AL_AMI-4
AL,35235,2058383122,AMI-5,99%,288 patients,AL_AMI-5
AL,35235,2058383122,AMI-7A,,0 patients,AL_AMI-7A
AL,35235,2058383122,AMI-8A,85%,48 patients,AL_AMI-8A
AL,35235,2058383122,HF-1,94%,316 patients,AL_HF-1
AL,35235,2058383122,HF-2,98%,372 patients,AL_HF-2
AL,35235,2058383122,HF-3,98%,130 patients,AL_HF-3
AL,35235,2058383122,HF-4,100%,69 patients,AL_HF-4
AL,35235,2058383122,PN-2,87%,125 patients,AL_PN-2
AL,35235,2058383122,PN-3B,96%,131 patients,AL_PN-3B
AL,35235,2058383122,PN-4,100%,69 patients,AL_PN-4
AL,35235,2058383122,PN-5C,95%,135 patients,AL_PN-5C
AL,35235,2058383122,PN-6,91%,112 patients,AL_PN-6
AL,35235,2058383122,PN-7,85%,89 patients,AL_PN-7
AL,35235,2058383122,SCIP-CARD-2,83%,125 patients,AL_SCIP-CARD-2
AL,35235,2058383122,SCIP-INF-1,97%,461 patients,AL_SCIP-INF-1
AL,35235,2058383122,SCIP-INF-2,98%,473 patients,AL_SCIP-INF-2
AL,35235,2058383122,SCIP-INF-3,81%,442 patients,AL_SCIP-INF-3
AL,35235,2058383122,SCIP-INF-4,60%,127 patients,AL_SCIP-INF-4
AL,35235,2058383122,SCIP-INF-6,100%,601 patients,AL_SCIP-INF-6
AL,35235,2058383122,SCIP-VTE-1,89%,229 patients,AL_SCIP-VTE-1
AL,35235,2058383122,SCIP-VTE-2,83%,224 patients,AL_SCIP-VTE-2
AL,35968,2568453150,AMI-1,100%,46 patients,AL_AMI-1
AL,35968,2568453150,AMI-2,95%,39 patients,AL_AMI-2
AL,35968,2568453150,AMI-3,91%,11 patients,AL_AMI-3
AL,35968,2568453150,AMI-4,100%,14 patients,AL_AMI-4
AL,35968,2568453150,AMI-5,95%,41 patients,AL_AMI-5
AL,35968,2568453150,AMI-7A,100%,1 patients,AL_AMI-7A
AL,35968,2568453150,AMI-8A,40%,5 patients,AL_AMI-8A
AL,35968,2568453150,HF-1,89%,76 patients,AL_HF-1
AL,35968,2568453150,HF-2,100%,94 patients,AL_HF-2
AL,35968,2568453150,HF-3,94%,36 patients,AL_HF-3
AL,35968,2568453150,HF-4,100%,15 patients,AL_HF-4
AL,35968,2568453150,PN-2,97%,69 patients,AL_PN-2
AL,35968,2568453150,PN-3B,93%,91 patients,AL_PN-3B
AL,35968,2568453150,PN-4,100%,37 patients,AL_PN-4
AL,35968,2568453150,PN-5C,99%,88 patients,AL_PN-5C
AL,35968,2568453150,PN-6,88%,82 patients,AL_PN-6
AL,35968,2568453150,PN-7,98%,56 patients,AL_PN-7
AL,35968,2568453150,SCIP-CARD-2,100%,16 patients,AL_SCIP-CARD-2
AL,35968,2568453150,SCIP-INF-1,97%,139 patients,AL_SCIP-INF-1
AL,35968,2568453150,SCIP-INF-2,99%,147 patients,AL_SCIP-INF-2
AL,35968,2568453150,SCIP-INF-3,98%,136 patients,AL_SCIP-INF-3
AL,35968,2568453150,SCIP-INF-4,,0 patients,AL_SCIP-INF-4
AL,35968,2568453150,SCIP-INF-6,100%,179 patients,AL_SCIP-INF-6
AL,35968,2568453150,SCIP-VTE-1,97%,90 patients,AL_SCIP-VTE-1
AL,35968,2568453150,SCIP-VTE-2,97%,90 patients,AL_SCIP-VTE-2
AL,36784,3346366221,AMI-1,,0 patients,AL_AMI-1
AL,36784,3346366221,AMI-2,,0 patients,AL_AMI-2
AL,36784,3346366221,AMI-3,,0 patients,AL_AMI-3
AL,36784,3346366221,AMI-4,,0 patients,AL_AMI-4
AL,36784,3346366221,AMI-5,,0 patients,AL_AMI-5
AL,36784,3346366221,AMI-7A,,0 patients,AL_AMI-7A
AL,36784,3346366221,AMI-8A,,0 patients,AL_AMI-8A
AL,36784,3346366221,HF-1,100%,79 patients,AL_HF-1
AL,36784,3346366221,HF-2,89%,91 patients,AL_HF-2
AL,36784,3346366221,HF-3,88%,25 patients,AL_HF-3
AL,36784,3346366221,HF-4,88%,17 patients,AL_HF-4
AL,36784,3346366221,PN-2,92%,25 patients,AL_PN-2
AL,36784,3346366221,PN-3B,96%,24 patients,AL_PN-3B
AL,36784,3346366221,PN-4,100%,6 patients,AL_PN-4
AL,36784,3346366221,PN-5C,96%,24 patients,AL_PN-5C
AL,36784,3346366221,PN-6,100%,26 patients,AL_PN-6
AL,36784,3346366221,PN-7,92%,24 patients,AL_PN-7
AL,36784,3346366221,SCIP-CARD-2,,,AL_SCIP-CARD-2
AL,36784,3346366221,SCIP-INF-1,86%,14 patients,AL_SCIP-INF-1
AL,36784,3346366221,SCIP-INF-2,93%,14 patients,AL_SCIP-INF-2
AL,36784,3346366221,SCIP-INF-3,86%,14 patients,AL_SCIP-INF-3
AL,36784,3346366221,SCIP-INF-4,,0 patients,AL_SCIP-INF-4
AL,36784,3346366221,SCIP-INF-6,100%,15 patients,AL_SCIP-INF-6
AL,36784,3346366221,SCIP-VTE-1,90%,10 patients,AL_SCIP-VTE-1
AL,36784,3346366221,SCIP-VTE-2,90%,10 patients,AL_SCIP-VTE-2
AL,35007,2056208100,AMI-1,99%,179 patients,AL_AMI-1
AL,35007,2056208100,AMI-2,97%,208 patients,AL_AMI-2
AL,35007,2056208100,AMI-3,100%,30 patients,AL_AMI-3
AL,35007,2056208100,AMI-4,100%,98 patients,AL_AMI-4
AL,35007,2056208100,AMI-5,97%,169 patients,AL_AMI-5
AL,35007,2056208100,AMI-7A,,0 patients,AL_AMI-7A
AL,35007,2056208100,AMI-8A,83%,36 patients,AL_AMI-8A
AL,35007,2056208100,HF-1,86%,210 patients,AL_HF-1
AL,35007,2056208100,HF-2,100%,246 patients,AL_HF-2
AL,35007,2056208100,HF-3,97%,71 patients,AL_HF-3
AL,35007,2056208100,HF-4,100%,48 patients,AL_HF-4
AL,35007,2056208100,PN-2,97%,235 patients,AL_PN-2
AL,35007,2056208100,PN-3B,100%,110 patients,AL_PN-3B
AL,35007,2056208100,PN-4,100%,131 patients,AL_PN-4
AL,35007,2056208100,PN-5C,96%,239 patients,AL_PN-5C
AL,35007,2056208100,PN-6,93%,116 patients,AL_PN-6
AL,35007,2056208100,PN-7,92%,199 patients,AL_PN-7
AL,35007,2056208100,SCIP-CARD-2,89%,96 patients,AL_SCIP-CARD-2
AL,35007,2056208100,SCIP-INF-1,98%,368 patients,AL_SCIP-INF-1
AL,35007,2056208100,SCIP-INF-2,99%,370 patients,AL_SCIP-INF-2
AL,35007,2056208100,SCIP-INF-3,91%,331 patients,AL_SCIP-INF-3
AL,35007,2056208100,SCIP-INF-4,93%,116 patients,AL_SCIP-INF-4
AL,35007,2056208100,SCIP-INF-6,100%,588 patients,AL_SCIP-INF-6
AL,35007,2056208100,SCIP-VTE-1,97%,226 patients,AL_SCIP-VTE-1
AL,35007,2056208100,SCIP-VTE-2,94%,225 patients,AL_SCIP-VTE-2
AL,35233,2053258100,AMI-1,,,AL_AMI-1
AL,35233,2053258100,AMI-2,,,AL_AMI-2
AL,35233,2053258100,AMI-3,,,AL_AMI-3
AL,35233,2053258100,AMI-4,,,AL_AMI-4
AL,35233,2053258100,AMI-5,,,AL_AMI-5
AL,35233,2053258100,AMI-7A,,,AL_AMI-7A
AL,35233,2053258100,AMI-8A,,,AL_AMI-8A
AL,35233,2053258100,HF-1,,,AL_HF-1
AL,35233,2053258100,HF-2,,,AL_HF-2
AL,35233,2053258100,HF-3,,,AL_HF-3
AL,35233,2053258100,HF-4,,,AL_HF-4
AL,35233,2053258100,PN-2,,,AL_PN-2
AL,35233,2053258100,PN-3B,,,AL_PN-3B
AL,35233,2053258100,PN-4,,,AL_PN-4
AL,35233,2053258100,PN-5C,,,AL_PN-5C
AL,35233,2053258100,PN-6,,,AL_PN-6
AL,35233,2053258100,PN-7,,,AL_PN-7
AL,36201,2562358900,CAC-2,100%,9 patients,AL_CAC-2
AL,36201,2562358900,CAC-3,33%,9 patients,AL_CAC-3
AL,36201,2562358900,AMI-1,98%,81 patients,AL_AMI-1
AL,36201,2562358900,AMI-2,96%,73 patients,AL_AMI-2
AL,36201,2562358900,AMI-3,93%,14 patients,AL_AMI-3
AL,36201,2562358900,AMI-4,100%,29 patients,AL_AMI-4
AL,36201,2562358900,AMI-5,93%,67 patients,AL_AMI-5
AL,36201,2562358900,AMI-7A,0%,1 patients,AL_AMI-7A
AL,36201,2562358900,AMI-8A,87%,15 patients,AL_AMI-8A
AL,36201,2562358900,HF-1,87%,142 patients,AL_HF-1
AL,36201,2562358900,HF-2,100%,157 patients,AL_HF-2
AL,36201,2562358900,HF-3,90%,49 patients,AL_HF-3
AL,36201,2562358900,HF-4,100%,41 patients,AL_HF-4
AL,36201,2562358900,PN-2,97%,110 patients,AL_PN-2
AL,36201,2562358900,PN-3B,100%,102 patients,AL_PN-3B
AL,36201,2562358900,PN-4,100%,83 patients,AL_PN-4
AL,36201,2562358900,PN-5C,97%,145 patients,AL_PN-5C
AL,36201,2562358900,PN-6,92%,99 patients,AL_PN-6
AL,36201,2562358900,PN-7,91%,87 patients,AL_PN-7
AL,36201,2562358900,SCIP-CARD-2,83%,23 patients,AL_SCIP-CARD-2
AL,36305,3347935000,HF-2,100%,342 patients,AL_HF-2
AL,36305,3347935000,HF-3,100%,94 patients,AL_HF-3
AL,36305,3347935000,HF-4,100%,62 patients,AL_HF-4
AL,36305,3347935000,PN-2,100%,166 patients,AL_PN-2
AL,36305,3347935000,PN-3B,100%,152 patients,AL_PN-3B
AL,36305,3347935000,PN-4,100%,77 patients,AL_PN-4
AL,36305,3347935000,PN-5C,99%,146 patients,AL_PN-5C
AL,36305,3347935000,PN-6,99%,112 patients,AL_PN-6
AL,36305,3347935000,PN-7,99%,128 patients,AL_PN-7
AL,36305,3347935000,SCIP-CARD-2,100%,147 patients,AL_SCIP-CARD-2
AL,36305,3347935000,SCIP-INF-1,100%,950 patients,AL_SCIP-INF-1
AL,36305,3347935000,SCIP-INF-2,100%,957 patients,AL_SCIP-INF-2
AL,36305,3347935000,SCIP-INF-3,99%,882 patients,AL_SCIP-INF-3
AL,36305,3347935000,SCIP-INF-4,98%,165 patients,AL_SCIP-INF-4
AL,36305,3347935000,SCIP-INF-6,100%,1295 patients,AL_SCIP-INF-6
AL,36305,3347935000,SCIP-VTE-1,100%,497 patients,AL_SCIP-VTE-1
AL,36305,3347935000,SCIP-VTE-2,100%,497 patients,AL_SCIP-VTE-2
AL,35205,2059397000,AMI-1,97%,239 patients,AL_AMI-1
AL,35205,2059397000,AMI-2,98%,260 patients,AL_AMI-2
AL,35205,2059397000,AMI-3,85%,41 patients,AL_AMI-3
AL,35205,2059397000,AMI-4,100%,63 patients,AL_AMI-4
AL,35205,2059397000,AMI-5,96%,242 patients,AL_AMI-5
AL,35609,2563412000,SCIP-VTE-2,87%,205 patients,AL_SCIP-VTE-2
AL,35594,2054877736,AMI-1,100%,10 patients,AL_AMI-1
AL,35594,2054877736,AMI-2,100%,7 patients,AL_AMI-2
AL,35594,2054877736,AMI-3,100%,2 patients,AL_AMI-3
AL,35594,2054877736,AMI-4,100%,1 patients,AL_AMI-4
AL,35594,2054877736,AMI-5,100%,8 patients,AL_AMI-5
AL,35594,2054877736,AMI-7A,0%,1 patients,AL_AMI-7A
AL,35594,2054877736,AMI-8A,,0 patients,AL_AMI-8A
AL,35594,2054877736,HF-1,90%,48 patients,AL_HF-1
AL,35594,2054877736,HF-2,100%,59 patients,AL_HF-2
AL,35594,2054877736,HF-3,85%,13 patients,AL_HF-3
AL,35594,2054877736,HF-4,100%,14 patients,AL_HF-4
AL,35594,2054877736,PN-2,91%,66 patients,AL_PN-2
AL,35594,2054877736,PN-3B,98%,59 patients,AL_PN-3B
AL,35594,2054877736,PN-4,98%,40 patients,AL_PN-4
AL,35594,2054877736,PN-5C,100%,85 patients,AL_PN-5C
AL,35594,2054877736,PN-6,100%,62 patients,AL_PN-6
AL,35594,2054877736,PN-7,82%,45 patients,AL_PN-7
AL,35594,2054877736,SCIP-CARD-2,89%,19 patients,AL_SCIP-CARD-2
AL,35594,2054877736,SCIP-INF-1,98%,102 patients,AL_SCIP-INF-1
AL,35594,2054877736,SCIP-INF-2,99%,103 patients,AL_SCIP-INF-2
AL,35594,2054877736,SCIP-INF-3,94%,98 patients,AL_SCIP-INF-3
AL,35594,2054877736,SCIP-INF-4,,0 patients,AL_SCIP-INF-4
AL,35594,2054877736,SCIP-INF-6,100%,146 patients,AL_SCIP-INF-6
AL,35594,2054877736,SCIP-VTE-1,95%,58 patients,AL_SCIP-VTE-1
AL,35594,2054877736,SCIP-VTE-2,95%,58 patients,AL_SCIP-VTE-2
AL,36617,2514717110,AMI-1,99%,86 patients,AL_AMI-1
AL,36617,2514717110,AMI-2,97%,91 patients,AL_AMI-2
AL,36617,2514717110,AMI-3,100%,22 patients,AL_AMI-3
AL,36617,2514717110,AMI-4,100%,58 patients,AL_AMI-4
AL,36617,2514717110,AMI-5,96%,96 patients,AL_AMI-5
AL,36617,2514717110,AMI-7A,,0 patients,AL_AMI-7A
AL,36617,2514717110,AMI-8A,50%,16 patients,AL_AMI-8A
AL,36617,2514717110,HF-1,83%,146 patients,AL_HF-1
AL,36617,2514717110,HF-2,98%,150 patients,AL_HF-2
AL,36617,2514717110,HF-3,96%,84 patients,AL_HF-3
AL,36617,2514717110,HF-4,100%,45 patients,AL_HF-4
AL,36617,2514717110,PN-2,71%,7 patients,AL_PN-2
AL,36617,2514717110,PN-3B,89%,35 patients,AL_PN-3B
AL,36067,3343614267,AMI-2,100%,4 patients,AL_AMI-2
