,intellij-community_methodnaming,is_anomaly
421,testAllPassesFinishAfterInterruptOnTyping_Performance,1
422,_testCaretMovementDoesNotRestartHighlighting,1
423,testRightMacrosOrder_RelativeValues_NoVariables,1
424,testProjectUnderUserHome_ReplaceRecursively,1
425,get_from_real,1
426,ID,1
427,_openFatals,1
428,class_replaceMethod,1
429,testGrvy194_1,1
430,testBigFileWithOnlyErrorElements_DoNotProduceSOE,1
431,_customizePresentation,1
432,Main,1
433,B,1
434,testFile2File_MINE_UNV_THEIRS_ADD,1
435,testFile2File_MINE_EDIT_THEIRS_DELETE,1
436,testFile2File_MINE_DELETE_THEIRS_EDIT,1
437,testFile2File_MINE_EDIT_THEIRS_MOVE,1
438,testFile2File_MINE_UNV_THEIRS_MOVE,1
439,testFile2File_MINE_MOVE_THEIRS_EDIT,1
440,testFile2File_MINE_MOVE_THEIRS_ADD,1
441,testDir2Dir_MINE_UNV_THEIRS_ADD,1
442,testDir2Dir_MINE_DELETE_THEIRS_EDIT,1
443,testDir2Dir_MINE_EDIT_THEIRS_MOVE,1
444,testDir2Dir_MINE_UNV_THEIRS_MOVE,1
445,testDir2Dir_MINE_MOVE_THEIRS_EDIT,1
446,testDir2Dir_MINE_MOVE_THEIRS_ADD,1
447,testFile2Dir_MINE_UNV_THEIRS_ADD,1
448,testFile2Dir_MINE_ADD_THEIRS_ADD,1
449,testFile2Dir_MINE_UNV_THEIRS_MOVE,1
450,testFile2Dir_MINE_ADD_THEIRS_MOVE,1
451,testFile2Dir_MINE_MOVE_THEIRS_ADD,1
452,testDir2File_MINE_UNV_THEIRS_ADD,1
453,testDir2File_MINE_ADD_THEIRS_ADD,1
454,testDir2File_MINE_UNV_THEIRS_MOVE,1
455,testDir2File_MINE_ADD_THEIRS_MOVE,1
456,testDir2File_MINE_MOVE_THEIRS_ADD,1
457,_commit,1
458,test_no_push_spec,1
459,test_refs_for_master,1
460,test_wildcard_special_ref,1
461,test_complex_remote_name,1
462,test_standard_fetch_refspec,1
463,test_tracked_remote_is_preferable_over_origin,1
464,JAVADOC_ME,1
465,testWhenTabsDetected_SetIndentSizeToTabSize,1
466,testContinuationTab_AsTabSize,1
467,testContinuationTabs_AsDoubleTabSize,1
468,testWhenTabsDetected_SetContinuationIndentSizeToDoubleTabSize,1
469,testDoNotIndentOptions_WhenTabsDetected_AndUseTabsWasSetByDefault,1
470,B,1
471,testSelectFirstDeffect_Failed,1
472,testSelectFirstDeffect_Error,1
473,testSelectFirstDefect_Priority_Error,1
474,testSelectFirstDefect_Priority_Failure,1
475,testSelectFirstDefect_Priority_Pending,1
476,IntelliJBugConvertToLocal,1
477,_setSelected,1
478,_findInfo,1
479,get_i,1
480,_restoreFocus,1
481,FooBarrrrrr,1
482,FooBarrrr,1
483,_accept,1
484,getUser_id,1
485,setUser_id,1
486,getDate_created,1
487,setDate_created,1
488,getDate_updated,1
489,setDate_updated,1
490,_testCurrentTasks,1
491,testSmartReformatPerformanceInLargeFile_AsUsedInPostponedFormatting,1
492,_unfoldParenExprs,1
493,getPossible_values,1
494,setPossible_values,1
495,getDefault_value,1
496,setDefault_value,1
497,getValid_regexp,1
498,setValid_regexp,1
499,getAccess_level_r,1
500,setAccess_level_r,1
501,getAccess_level_rw,1
502,setAccess_level_rw,1
503,getLength_min,1
504,setLength_min,1
505,getLength_max,1
506,setLength_max,1
507,getDisplay_report,1
508,setDisplay_report,1
509,getDisplay_update,1
510,setDisplay_update,1
511,getDisplay_resolved,1
512,setDisplay_resolved,1
513,getDisplay_closed,1
514,setDisplay_closed,1
515,getRequire_report,1
516,setRequire_report,1
517,getRequire_update,1
518,setRequire_update,1
519,getRequire_resolved,1
520,setRequire_resolved,1
521,getRequire_closed,1
522,setRequire_closed,1
523,DFAEdge,1
524,D,1
525,I,1
526,testGetCachedPsiFile_NoFile,1
527,testGetPsiFile_NotRegisteredDocument,1
528,testGetDocument_FirstGet,1
529,testGetUncommittedDocuments_noDocuments,1
530,testGetUncommittedDocuments_documentChanged_DontProcessEvents,1
531,testGetUncommittedDocuments_documentNotRegistered,1
532,testCommitDocument_RemovesFromUncommittedList,1
533,testCommitAllDocument_RemovesFromUncommittedList,1
534,_get,1
535,_computeFileElement,1
536,getMockGroovy1_6LibraryName,1
537,getMockGroovy1_7LibraryHome,1
538,getMockGroovy1_7LibraryName,1
539,getMockGroovy1_8LibraryHome,1
540,getMockGroovy2_1LibraryHome,1
541,getMockGroovy2_2LibraryHome,1
542,getMockGroovy2_3LibraryHome,1
543,getMockGroovy1_8LibraryName,1
544,getMockGroovy2_1LibraryName,1
545,getMockGroovy2_2LibraryName,1
546,getMockGroovy2_3LibraryName,1
547,testContract_1,1
548,$$$setupUI$$$,1
549,_,1
550,dontWarnWhenDoubleChecked_This_Synchronized,1
551,doNotWarnWhenDoubleChecked_This_WithMethodCall,1
552,auto_commit_in_the_settings,1
553,I_cherry_pick_the_commit,1
554,I_cherry_pick_commits,1
555,I_cherry_pick_the_commit_and_resolve_conflicts,1
556,I_cherry_pick_the_commit_resolve_conflicts_and_commit,1
557,I_cherry_pick_the_commit_hash_and_commit,1
558,I_cherry_pick_commits_and_commit_both_of_them,1
559,I_cherry_pick_commits_but_commit_only_the_first_one,1
560,the_last_commit_is,1
561,the_last_commit_is_hash,1
562,git_log_should_return,1
563,no_new_changelists_are_created,1
564,is_locally_modified,1
565,nothing_is_committed,1
566,working_tree_is_dirty,1
567,merge_dialog_should_be_shown,1
568,commit_dialog_should_be_shown,1
569,there_is_changelist,1
570,_getOriginInfo,1
571,Main,1
572,IDEA16027,1
573,test_DoNot_JoinLines_If_KeepLineBreaksIsOn,1
574,test_DoNot_JoinLines_If_KeepLineBreaksIsOn_WithMultipleAnnotations,1
575,testRightMargin_2,1
576,testRightMargin_3,1
577,testIDEA_16151,1
578,testIDEA_14324,1
579,testIDEADEV1047_2,1
580,testSCRIDEA_4783,1
581,testSCRIDEADEV_2292,1
582,testIDEADEV_6239,1
583,testIDEADEV_8755,1
584,testIDEADEV_24168,1
585,testIDEADEV_2541,1
586,testIDEADEV_6434,1
587,testIDEADEV_12836,1
588,testIDEADEV_23551,1
589,testIDEADEV_22967,1
590,testIDEADEV_22967_2,1
591,testIDEA_54406,1
592,testDoNotIndentNotSelectedStatement_AfterSelectedOne,1
593,$,1
594,_testSeraching,1
595,_testUpdatingLocal,1
596,_testDownloading,1
597,_testAddingArtifacts,1
598,_testIteratingAddedArtifacts,1
599,_testSearchingWithLucene,1
600,_testAddingTwoContextsWithSameId,1
601,Y,1
602,Simple_case,1
603,Prefer_default_Git_without_version_to_versioned_ones,1
604,Prefer_the_latest_version,1
605,Prefer_Program_Files_over_x86,1
606,Prefer_git_cmd_over_git_exe,1
607,Prefer_cmd_over_bin_in_newer_versions_of_Git,1
608,_1_8_0_Prefer_cmd_git_cmd_over_cmd_git_exe_and_bin_git_exe,1
609,Prefer_msys_over_cygwin,1
610,Only_cygwin,1
611,Many_different_versions_real_case,1
612,Program_not_found_try_git_exe,1
613,For_both_git_exe_and_git_cmd_prefer_git_cmd,1
614,Find_Git_in_PATH,1
615,Find_Git_in_PATH_not_on_the_first_place,1
616,No_Git_in_PATH_then_look_in_Program_Files,1
617,Prefer_PATH_to_Program_Files,1
618,Prefer_the_first_entry_from_the_PATH,1
619,Dont_use_Git_from_PATH_if_it_doesnt_exist_on_disk,1
620,F,1
621,BytesTo32bits,1
622,Bits32ToBytes,1
623,parse_root_,1
624,array_1,1
625,array_element,1
626,array_element_1,1
627,array_element_1_1,1
628,boolean_literal,1
629,not_brace_or_next_value,1
630,not_brace_or_next_value_0,1
631,not_bracket_or_next_value,1
632,not_bracket_or_next_value_0,1
633,null_literal,1
634,number_literal,1
635,object_1,1
636,object_element,1
637,object_element_1,1
638,object_element_1_1,1
639,property_1,1
640,property_name,1
641,reference_expression,1
642,string_literal,1
643,_init,1
644,_commit,1
645,NAMER,1
646,test_star_position,1
647,test_branch_name_substitution,1
648,test_complex_branch_name_can_be_partially_wildcarded,1
649,test_one_of_several_specs_matches,1
650,testQualified_1,1
651,testQualified_2,1
652,_testNotChangeReturnType,1
653,UnnecessaryFullyQualifiedNameInspection,1
654,Inner,1
655,Inner,1
656,testIDEA124961_1_8_0_40,1
657,Main,1
658,$$$setupUI$$$,1
659,_getRawIcon,1
660,$$$setupUI$$$,1
661,unversioned_file,1
662,I_add_file_to_VCS,1
663,file_should_become_ADDED,1
664,_debug,1
665,_testStampLockReadWritePreference,1
666,dontWarnWhenDoubleChecked_This_Synchronized,1
667,doNotWarnWhenDoubleChecked_This_WithMethodCall,1
668,test_no_space_directory_with_revision,1
669,test_no_space_directory_with_peg_revision,1
670,test_no_space_directory_without_revision,1
671,test_quoted_no_space_directory,1
672,test_quoted_with_space_directory,1
673,test_escaped_with_space_and_quotes_directory,1
674,ButItIsWrong,1
675,MyChild,1
676,getReal_name,1
677,setReal_name,1
678,a_ic_m,1
679,a_ic_m2,1
680,a_ic_m2,1
681,test_no_warning_if_autocrlf_is_true,1
682,test_no_warning_if_autocrlf_is_input,1
683,test_no_warning_if_no_files_with_CRLF,1
684,test_no_warning_if_file_with_CRLF_no_attrs_autocrlf_is_false,1
685,test_no_warning_if_file_with_CRLF_but_text_is_set,1
686,test_no_warning_if_file_with_CRLF_but_crlf_is_set,1
687,test_no_warning_if_file_with_CRLF_but_crlf_is_explicitly_unset,1
688,test_no_warning_if_file_with_CRLF_but_crlf_is_set_to_input,1
689,test_warning_if_file_with_CRLF_nothing_is_set,1
690,test_warning_if_various_files_with_various_attributes_one_doesnt_match,1
691,MyRunnable,1
692,_dispose,1
693,test_create_new_branch_without_problems,1
694,test_create_new_branch_with_unmerged_files_in_first_repo_should_show_notification,1
695,test_create_new_branch_with_unmerged_files_in_second_repo_should_propose_to_rollback,1
696,test_rollback_create_new_branch_should_delete_branch,1
697,test_deny_rollback_create_new_branch_should_leave_new_branch,1
698,test_checkout_without_problems,1
699,test_checkout_with_unmerged_files_in_first_repo_should_show_notification,1
700,test_checkout_with_unmerged_file_in_second_repo_should_propose_to_rollback,1
701,test_rollback_checkout_should_return_to_previous_branch,1
702,test_deny_rollback_checkout_should_do_nothing,1
703,test_checkout_revision_checkout_branch_with_complete_success,1
704,test_checkout_revision_checkout_ref_with_complete_success,1
705,test_checkout_revision_checkout_ref_with_complete_failure,1
706,test_checkout_revision_checkout_ref_with_partial_success,1
707,test_checkout_with_untracked_files_overwritten_by_checkout_in_first_repo_should_show_notification,1
708,test_checkout_with_several_untracked_files_overwritten_by_checkout_in_first_repo_should_show_notification,1
709,test_merge_with_untracked_files_overwritten_by_checkout_in_first_repo_should_show_notification,1
710,test_untracked_files_overwritten_by_in_first_repo,1
711,test_checkout_with_untracked_files_overwritten_by_checkout_in_second_repo_should_show_rollback_proposal_with_file_list,1
712,test_merge_with_untracked_files_overwritten_by_checkout_in_second_repo_should_show_rollback_proposal_with_file_list,1
713,check_checkout_with_untracked_files_overwritten_by_in_second_repo,1
714,test_checkout_with_local_changes_overwritten_by_checkout_should_show_smart_checkout_dialog,1
715,test_checkout_with_several_local_changes_overwritten_by_checkout_should_show_smart_checkout_dialog,1
716,test_merge_with_local_changes_overwritten_by_merge_should_show_smart_merge_dialog,1
717,check_operation_with_local_changes_overwritten_by_should_show_smart_checkout_dialog,1
718,test_agree_to_smart_checkout_should_smart_checkout,1
719,test_agree_to_smart_merge_should_smart_merge,1
720,agree_to_smart_operation,1
721,test_deny_to_smart_checkout_in_first_repo_should_show_nothing,1
722,test_deny_to_smart_merge_in_first_repo_should_show_nothing,1
723,check_deny_to_smart_operation_in_first_repo_should_show_nothing,1
724,test_deny_to_smart_checkout_in_second_repo_should_show_rollback_proposal,1
725,test_deny_to_smart_merge_in_second_repo_should_show_rollback_proposal,1
726,check_deny_to_smart_operation_in_second_repo_should_show_rollback_proposal,1
727,test_force_checkout_in_case_of_local_changes_that_would_be_overwritten_by_checkout,1
728,test_rollback_of_checkout_branch_as_new_branch_should_delete_branches,1
729,test_delete_branch_that_is_fully_merged_should_go_without_problems,1
730,test_delete_unmerged_branch_should_show_dialog,1
731,test_ok_in_unmerged_branch_dialog_should_force_delete_branch,1
732,test_cancel_in_unmerged_branch_dialog_in_not_first_repository_should_show_rollback_proposal,1
733,test_rollback_delete_branch_should_recreate_branches,1
734,test_deny_rollback_delete_branch_should_do_nothing,1
735,test_delete_branch_merged_to_head_but_unmerged_to_upstream_should_show_dialog,1
736,test_simple_merge_without_problems,1
737,test_merge_branch_that_is_up_to_date,1
738,test_merge_one_simple_and_other_up_to_date,1
739,test_merge_with_unmerged_files_in_first_repo_should_show_notification,1
740,test_merge_with_unmerged_files_in_second_repo_should_propose_to_rollback,1
741,test_rollback_merge_should_reset_merge,1
742,test_deny_rollback_merge_should_leave_as_is,1
743,test_checkout_in_detached_head,1
744,test_checkout_to_common_branch_when_branches_have_diverged,1
745,test_rollback_checkout_from_diverged_branches_should_return_to_proper_branches,1
746,isVersionGE_1_5,1
747,isVersionGE_1_7,1
748,test_Wrap_On_Method_Parameter_Declaration,1
749,test_Do_Not_Wrap_On_Nested_Call_Arguments_If_Not_Needed,1
750,test_PlaceOnNewLineParenth_DoNotWork_IfLineNotExceedsRightMargin,1
751,test_WrapIfLong_ActivatesPlaceNewLineAfterParenthesis,1
752,test_WrapIfLong_On_Second_Parameter_ActivatesPlaceNewLineAfterParenthesis,1
753,test_LParen_OnNextLine_IfWrapped,1
754,test_RParen_OnNextLine_IfWrapped,1
755,test_ChainedCalls_FirstOnNewLine,1
756,test_ChainedCalls_NoWrapOnSingleCall,1
757,test_TryWithResource_NextLineIfWrapped,1
758,test_KeepSimpleLambdasInOneLine,1
759,FFmulX,1
760,inv_mcol,1
761,_testStaticInstanceInitializers,1
762,_testContainsPredicate,1
763,TO_TYPE,1
764,TO_TEXT,1
765,TO_RANGE,1
766,_getReady,1
767,_select,1
768,_select,1
769,_select,1
770,_expand,1
771,_expand,1
772,_remapNodeActions,1
773,_addNodeAction,1
774,OurEnum,1
775,testRelativePathCompletion_2,1
776,disabled_testReorderingOldestShouldDoNothing,1
777,disabled_testReorderingOneCommit,1
778,disabled_testReorderingTwoCommits,1
779,IDEA16027,1
780,testIndexOf_1,1
781,testIndexOf_2,1
782,testIndexOf_3,1
783,FooBarrrrrr,1
784,FooBarrrr,1
785,testHtml5_2,1
786,FooBarrrrrr,1
787,FooBarrrr,1
788,_getGraphics,1
789,assure_foo_is_never_null,1
790,testStress2_Performance,1
791,_computeSelectedLabelShape,1
792,_testLambdaExercise,1
793,testIDEA127275_,1
