,hadoop-common_methodnaming,is_anomaly
296,pTestAny,0
297,pTestClosure1,0
298,pTestClosure2,0
299,pTestClosure3,0
300,pTestClosure4,0
301,pTestClosure5,0
302,pTestSet,0
303,pTestRange,0
304,pTestSetExcl,0
305,pTestCombination,0
306,pTestCurlyBracket,0
307,pTestJavaRegexSpecialChars,0
308,_testUserName,1
309,testFailureNegativeOffset_2,1
310,testFailureNegativeLength_2,1
311,testFailureNegativeLength_3,1
312,pipeline_01,1
313,pipeline_02_03,1
314,outOfBandFolder_uncleMkdirs,1
315,outOfBandFolder_parentDelete,1
316,outOfBandFolder_rootFileDelete,1
317,outOfBandFolder_firstLevelFolderDelete,1
318,outOfBandFolder_siblingCreate,1
319,outOfBandFolder_create_rootDir,1
320,outOfBandFolder_rename,1
321,outOfBandFolder_rename_rootLevelFiles,1
322,blockReport_01,1
323,blockReport_02,1
324,blockReport_03,1
325,blockReport_04,1
326,blockReport_06,1
327,blockReport_07,1
328,blockReport_08,1
329,blockReport_09,1
330,_getVersion,1
331,_getRevision,1
332,_getBranch,1
333,_getDate,1
334,_getUser,1
335,_getUrl,1
336,_getSrcChecksum,1
337,_getBuildVersion,1
338,_getProtocVersion,1
339,_add,1
340,of,0
341,id,0
342,getRoles_links,1
343,setRoles_links,1
344,xdr_string,1
345,xdr_int,1
346,_testInputFiles,1
347,A,1
348,B,1
349,C,1
350,validateKeyValue_INNER_IDENTITY,1
351,at,0
352,at,0
353,at,0
354,$for,1
355,$for,1
356,$for,1
357,$for,1
358,$for,1
359,ClusterShutdownAtEnd,1
360,go,0
361,ClusterShutdownAtEnd,1
362,of,0
363,of,0
364,$about,1
365,_,1
366,_,1
367,_r,1
368,go,0
369,go,0
370,xdr_string,1
371,xdr_int,1
372,go,0
373,go,0
374,go,0
375,CUnescape,1
376,pReadFile,0
377,LeafTrieNodeFactory,1
378,TestGetConfExcludeCommand,1
379,TestGetConfIncludeCommand,1
380,m,0
381,FsShellRun,1
382,DFSAdminRun,1
383,FsShellRun,1
384,testFailureKeyLongerThan64K_2,1
385,TestMultipleGroupsMapping,1
386,TestMultipleGroupsMappingWithCombined,1
387,TestMultipleGroupsMappingWithoutCombined,1
388,TestStatisticsForShortCircuitLocalRead,1
389,TestStatisticsForLocalRead,1
