,wildfly_methodnaming,is_anomaly
237,eq,0
238,next_n,1
239,next_one,1
240,testAuthentication_BadPwd,1
241,testAuthentication_TwoBeans,1
242,testAuthentication_TwoBeans_ReAuth,1
243,testAuthentication_TwoBeans_ReAuth_BadPwd,1
244,testAuthentication_ViaServlet,1
245,testAuthentication_ReAuth_ViaServlet,1
246,testAuthentication_TwoBeans_ViaServlet,1
247,testAuthentication_TwoBeans_ReAuth_ViaServlet,1
248,testAuthentication_TwoBeans_ReAuth__BadPwd_ViaServlet,1
249,testICIR_TwoBeans,1
250,testICIR_TwoBeans_ReAuth,1
251,testICIR_ViaServlet,1
252,testICIR_ReAuth_ViaServlet,1
253,testICIR_TwoBeans_ViaServlet,1
254,testICIR_TwoBeans_ReAuth_ViaServlet,1
255,_lookup,1
256,_contents,1
257,_lookup_name,1
258,lookup_name,1
259,describe_contents,1
260,create_module,1
261,create_constant,1
262,create_struct,1
263,create_union,1
264,create_enum,1
265,create_alias,1
266,create_interface,1
267,create_value,1
268,create_value_box,1
269,create_exception,1
270,create_native,1
271,def_kind,1
272,testParseSubsystem_1_0,1
273,testParseEmptySubsystem_1_0,1
274,testParseSubsystemWithBadInitializer_1_0,1
275,deploy_true,1
276,deploy_false,1
277,deploy_invalid,1
278,deploy_true_app,1
279,deploy_false_app,1
280,deploy_invalid_app,1
281,ps,0
282,pd,0
283,lookup_name,1
284,describe_contents,1
285,create_module,1
286,create_constant,1
287,create_struct,1
288,create_union,1
289,create_enum,1
290,create_alias,1
291,create_interface,1
292,create_value,1
293,create_value_box,1
294,create_exception,1
295,create_native,1
296,of,0
297,testSendWith_REQUIRED_transaction,1
298,testSendWith_REQUIRED_transactionAndRollback,1
299,sendWith_REQUIRED_transaction,1
300,eq,0
301,registerTransformers_1_2_0_and_1_3_0,1
302,registerTransformers_3_0,1
303,testBoot1_1_0,1
304,test_positiveTxTimeoutTest,1
305,test_negativeTxTimeoutTest,1
306,test_negativeTxTimeoutVerifyReaperThreadCanceledTxTest,1
307,registerTransformers_4_0,1
308,registerTransformers_1_3_0,1
309,registerTransformers_1_4_0,1
310,registerTransformers_2_x_0,1
311,iAmAround,0
312,registerTransformers1_2_0,1
313,registerTransformers_1_2_1,1
314,registerTransformers_1_3_0,1
315,registerTransformers1_2_1_and_1_3_0,1
316,registerTransformers_3_0_0,1
317,eq,0
318,testTransformerEAP_6_3,1
319,registerTransformers_1_1_0,1
320,testRolesAllowedOverriden_NoUser,1
321,testRolesAllowedOverriden_User1,1
322,testRolesAllowedOverridenInBaseClass_Admin,1
323,testRolesAllowedOverridenInBaseClass_HR,1
324,testRolesAllowedOverriden_User2,1
325,testPermitAllOverride_NoUser,1
326,testPermitAllOverride_User1,1
327,testDenyAllOverride_NoUser,1
328,testDenyAllOverride_User1,1
329,lookup_id,1
330,get_canonical_typecode,1
331,get_primitive,1
332,create_string,1
333,create_wstring,1
334,create_sequence,1
335,create_array,1
336,create_fixed,1
337,_lookup_id,1
338,of,0
339,deployment4_direct,1
340,test4_direct,1
341,element_type,1
342,element_type_def,1
343,element_type_def,1
344,testNonExistingConfig_1,1
345,testNonExistingConfig_2,1
346,receive_request_service_contexts,1
347,receive_request,1
348,send_reply,1
349,send_exception,1
350,send_other,1
351,type_def,1
352,type_def,1
353,of,0
354,of,0
355,of,0
356,test00001_ServerRunning,1
357,test00002_Versioning,1
358,test00009_SecurityTransformers,1
359,test00010_JgroupsTransformers,1
360,test99999_ProfileClone,1
